Tipo;Ano;Qualis;Autor Principal;Título do Artigo;Periódico/Evento;Aut.Total;Aut.Prof;Aut.Dout;Aut.Mestr;Aut.Grad;Autores - Nomes;PPGC
Conferência;2013;-;Altamiro Amadeu Susin;A power-efficient hierarchical network-on-chip topology for stacked 3D ICs;2013 IFIP/IEEE 21st International Conference on Very Large Scale Integration (VLSISoC);4;1;0;0;0;"Matos, Debora; REINBRECHT, CEZAR; MOTTA, TIAGO; Altamiro Amadeu Susin";Sim
Periódico;2013;-;Claudio Fernando Resin Geyer;A Privacy Taxonomy for the Management of Ubiquitous Environments;Journal of Communication and Computer;8;1;0;0;0;"Valderi Reis Quietinho Leithardt; Guilherme Borges; Anubis Graciela de Moraes Rossetto; Rolim, C.O.; Luiz Henrique Andrade Correia; David Nunes; Jorge Sá Silva; Claudio Fernando Resin Geyer";Sim
Conferência;2013;B4;Liane Margarida Rockenbach Tarouco;Virtual laboratory for teaching Calculus: An immersive experience;IEEE Engineering Education Conference;5;1;0;0;0;"Liane Margarida Rockenbach Tarouco; GORZIZA, BARBARA; CORREA, YGOR; AMARAL, ERICO M. H.; MULLER, THAISA";Não
Conferência;2013;B5;Dieison Soares Silveira;A real time high definition architecture for the Variable-Length Reference Frame Decoder;IEEE Latin American Symposium on Circuits and Systems - LASCAS;3;1;0;0;0;"Dieison Soares Silveira; PORTO, MARCELO; AGOSTINI, LUCIANO";Sim
Conferência;2013;A1;Antonio Carlos Schneider Beck Filho;A Run-Time Adaptive Multiprocessor System;IEEE International Symposium on Circuits and Systems;3;2;0;0;0;"Mateus Beck Rutzig; Antonio Carlos Schneider Beck Filho; Luigi Carro";Sim
Conferência;2013;B1;Andre Inacio Reis;CMOS Inverter Delay Model Based on DC Transfer Curve for Slow Input;IEEE International Symposium on Quality Electronic Design;3;2;0;0;0;"Felipe S. Marranghello; Andre Inacio Reis; RIBAS, RENATO P.";Não
Conferência;2013;A2;Luigi Carro;A run-time graph-based Polynomial Placement and routing algorithm for virtual FPGAS;International Conference on Field-Programmable Logic and Applications;6;1;0;0;0;"Ricardo Ferreira; ROCHA, L.; SANTOS, A.; NACIF, J.; WONG, STEPHAN; Luigi Carro";Sim
Conferência;2013;-;Rosa Maria Vicari;A Semantic Web Approach to Recommend Learning Objects;International Workshops of PAAMS;3;1;0;0;0;"PRIMO, TIAGO THOMPSEN; Andre Behr; Rosa Maria Vicari";Sim
Periódico;2013;A1;Luís da Cunha Lamb;A simple non-Markovian computational model of the statistics of soccer leagues: Emergence and scaling effects;Computer Physics Communications;4;1;0;0;0;"da Silva, Roberto; VAINSTEIN, MENDELI H.; LuÃ­s da Cunha Lamb; PRADO, SANDRA D.";Sim
Conferência;2013;-;Alexander Javier Benavides Rojas;A simple stochastic local search for multi-mode resource-constrained multi-project scheduling;6th Multidisciplinary International Scheduling Conference (MISTA 2013);5;1;2;0;0;"Leonardo de Miranda Borba; Alexander Javier Benavides Rojas; Tadeu Knewitz Zubaran; Germano Caumo Carniel; Marcus Rolf Peter Ritt";Sim
Conferência;2013;B5;Marcus Rolf Peter Ritt;A simple stochastic local search for multi-mode resource-constrained multi-project scheduling;Multidisciplinary International Scheduling Conference: Theory and Applications;2;1;0;0;0;"Leonardo M. Borba; Marcus Rolf Peter Ritt";Sim
Conferência;2013;B4;Marcus Rolf Peter Ritt;A simple, adaptive bubble search for improving heuristic solutions of the permutation flow shop scheduling problem;Simpósio Brasileiro de Pesquisa Operacional;2;1;0;0;0;"Tadeu Zubaran; Marcus Rolf Peter Ritt";Sim
